"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Female"	"F"	"California"	"06"	33
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Female"	"F"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Female"	"F"	"New York"	"36"	20
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Female"	"F"	"Pennsylvania"	"42"	16
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Female"	"F"	"Texas"	"48"	25
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Male"	"M"	"California"	"06"	40
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Male"	"M"	"Florida"	"12"	18
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Male"	"M"	"Georgia"	"13"	16
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Male"	"M"	"Illinois"	"17"	16
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Male"	"M"	"New Jersey"	"34"	17
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Male"	"M"	"New York"	"36"	27
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Male"	"M"	"Ohio"	"39"	24
	"Brain and Other Nervous System"	"31010-31040"	"2002"	"2002"	"1-4 years"	"1-4"	"Male"	"M"	"Pennsylvania"	"42"	22
