"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Female"	"F"	"California"	"06"	34
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Female"	"F"	"Florida"	"12"	25
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Female"	"F"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Female"	"F"	"Pennsylvania"	"42"	18
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Female"	"F"	"Texas"	"48"	35
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Male"	"M"	"California"	"06"	37
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Male"	"M"	"Florida"	"12"	29
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Male"	"M"	"Indiana"	"18"	18
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Male"	"M"	"New Jersey"	"34"	17
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Male"	"M"	"New York"	"36"	22
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Male"	"M"	"Ohio"	"39"	24
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Male"	"M"	"Pennsylvania"	"42"	22
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"1-4 years"	"1-4"	"Male"	"M"	"Texas"	"48"	53
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"5-9 years"	"5-9"	"Female"	"F"	"California"	"06"	36
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"5-9 years"	"5-9"	"Female"	"F"	"Florida"	"12"	23
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"5-9 years"	"5-9"	"Female"	"F"	"New York"	"36"	23
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"5-9 years"	"5-9"	"Female"	"F"	"Texas"	"48"	31
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"5-9 years"	"5-9"	"Male"	"M"	"California"	"06"	48
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"5-9 years"	"5-9"	"Male"	"M"	"Florida"	"12"	22
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"5-9 years"	"5-9"	"Male"	"M"	"Georgia"	"13"	18
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"5-9 years"	"5-9"	"Male"	"M"	"Michigan"	"26"	17
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"5-9 years"	"5-9"	"Male"	"M"	"New York"	"36"	22
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"5-9 years"	"5-9"	"Male"	"M"	"Texas"	"48"	39
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"5-9 years"	"5-9"	"Male"	"M"	"Virginia"	"51"	21
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	24
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"10-14 years"	"10-14"	"Female"	"F"	"Florida"	"12"	16
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	26
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	31
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"10-14 years"	"10-14"	"Male"	"M"	"Florida"	"12"	19
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"10-14 years"	"10-14"	"Male"	"M"	"Georgia"	"13"	16
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"10-14 years"	"10-14"	"Male"	"M"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"10-14 years"	"10-14"	"Male"	"M"	"Texas"	"48"	26
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"15-19 years"	"15-19"	"Female"	"F"	"California"	"06"	19
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"15-19 years"	"15-19"	"Female"	"F"	"Florida"	"12"	16
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"15-19 years"	"15-19"	"Female"	"F"	"Texas"	"48"	22
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"15-19 years"	"15-19"	"Male"	"M"	"California"	"06"	40
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"15-19 years"	"15-19"	"Male"	"M"	"New York"	"36"	18
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"15-19 years"	"15-19"	"Male"	"M"	"Texas"	"48"	24
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"20-24 years"	"20-24"	"Female"	"F"	"California"	"06"	31
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"20-24 years"	"20-24"	"Female"	"F"	"Florida"	"12"	17
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"20-24 years"	"20-24"	"Male"	"M"	"California"	"06"	33
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"20-24 years"	"20-24"	"Male"	"M"	"Florida"	"12"	16
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"20-24 years"	"20-24"	"Male"	"M"	"New York"	"36"	16
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"20-24 years"	"20-24"	"Male"	"M"	"Texas"	"48"	25
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"25-29 years"	"25-29"	"Female"	"F"	"California"	"06"	33
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"25-29 years"	"25-29"	"Female"	"F"	"Illinois"	"17"	18
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"25-29 years"	"25-29"	"Female"	"F"	"New York"	"36"	21
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"25-29 years"	"25-29"	"Female"	"F"	"Texas"	"48"	27
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"25-29 years"	"25-29"	"Male"	"M"	"California"	"06"	44
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"25-29 years"	"25-29"	"Male"	"M"	"Florida"	"12"	29
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"25-29 years"	"25-29"	"Male"	"M"	"New York"	"36"	27
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"25-29 years"	"25-29"	"Male"	"M"	"Ohio"	"39"	17
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"25-29 years"	"25-29"	"Male"	"M"	"Texas"	"48"	29
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"30-34 years"	"30-34"	"Female"	"F"	"California"	"06"	31
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"30-34 years"	"30-34"	"Female"	"F"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"30-34 years"	"30-34"	"Female"	"F"	"Ohio"	"39"	16
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"30-34 years"	"30-34"	"Female"	"F"	"Texas"	"48"	23
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"30-34 years"	"30-34"	"Male"	"M"	"California"	"06"	38
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"30-34 years"	"30-34"	"Male"	"M"	"Florida"	"12"	36
	"Brain and Other Nervous System"	"31010-31040"	"2008"	"2008"	"30-34 years"	"30-34"	"Male"	"M"	"New York"	"36"	31
