"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"1-4 years"	"1-4"	"Female"	"F"	"California"	"06"	32
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"1-4 years"	"1-4"	"Female"	"F"	"Florida"	"12"	17
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"1-4 years"	"1-4"	"Female"	"F"	"New York"	"36"	16
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"1-4 years"	"1-4"	"Female"	"F"	"Texas"	"48"	22
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"1-4 years"	"1-4"	"Male"	"M"	"California"	"06"	34
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"1-4 years"	"1-4"	"Male"	"M"	"Florida"	"12"	28
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"1-4 years"	"1-4"	"Male"	"M"	"Texas"	"48"	38
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"5-9 years"	"5-9"	"Female"	"F"	"California"	"06"	27
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"5-9 years"	"5-9"	"Female"	"F"	"Florida"	"12"	22
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"5-9 years"	"5-9"	"Female"	"F"	"New York"	"36"	26
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"5-9 years"	"5-9"	"Female"	"F"	"Texas"	"48"	33
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"5-9 years"	"5-9"	"Male"	"M"	"California"	"06"	39
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"5-9 years"	"5-9"	"Male"	"M"	"Florida"	"12"	24
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"5-9 years"	"5-9"	"Male"	"M"	"New York"	"36"	18
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"5-9 years"	"5-9"	"Male"	"M"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"5-9 years"	"5-9"	"Male"	"M"	"Texas"	"48"	28
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	27
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"10-14 years"	"10-14"	"Female"	"F"	"Pennsylvania"	"42"	22
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	27
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	28
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"10-14 years"	"10-14"	"Male"	"M"	"Florida"	"12"	17
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"10-14 years"	"10-14"	"Male"	"M"	"Texas"	"48"	25
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"15-19 years"	"15-19"	"Female"	"F"	"California"	"06"	21
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"15-19 years"	"15-19"	"Female"	"F"	"Florida"	"12"	21
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"15-19 years"	"15-19"	"Female"	"F"	"Texas"	"48"	24
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"15-19 years"	"15-19"	"Male"	"M"	"California"	"06"	23
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"15-19 years"	"15-19"	"Male"	"M"	"Florida"	"12"	26
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"15-19 years"	"15-19"	"Male"	"M"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"15-19 years"	"15-19"	"Male"	"M"	"Texas"	"48"	23
	"Brain and Other Nervous System"	"31010-31040"	"2020"	"2020"	"20-24 years"	"20-24"	"Female"	"F"	"California"	"06"	24
