"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"1-4 years"	"1-4"	"Female"	"F"	"California"	"06"	26
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"1-4 years"	"1-4"	"Female"	"F"	"Georgia"	"13"	16
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"1-4 years"	"1-4"	"Female"	"F"	"New York"	"36"	27
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"1-4 years"	"1-4"	"Female"	"F"	"North Carolina"	"37"	19
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"1-4 years"	"1-4"	"Female"	"F"	"Texas"	"48"	29
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"1-4 years"	"1-4"	"Male"	"M"	"California"	"06"	38
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"1-4 years"	"1-4"	"Male"	"M"	"Florida"	"12"	26
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"1-4 years"	"1-4"	"Male"	"M"	"New York"	"36"	22
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"1-4 years"	"1-4"	"Male"	"M"	"Ohio"	"39"	25
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"1-4 years"	"1-4"	"Male"	"M"	"Pennsylvania"	"42"	23
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"1-4 years"	"1-4"	"Male"	"M"	"Texas"	"48"	40
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Female"	"F"	"California"	"06"	40
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Female"	"F"	"Florida"	"12"	19
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Female"	"F"	"Illinois"	"17"	22
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Female"	"F"	"New York"	"36"	18
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Female"	"F"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Female"	"F"	"Texas"	"48"	31
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Male"	"M"	"California"	"06"	35
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Male"	"M"	"Florida"	"12"	17
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Male"	"M"	"Michigan"	"26"	16
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Male"	"M"	"New York"	"36"	29
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Male"	"M"	"Pennsylvania"	"42"	19
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"5-9 years"	"5-9"	"Male"	"M"	"Texas"	"48"	33
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	23
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"10-14 years"	"10-14"	"Female"	"F"	"Florida"	"12"	23
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"10-14 years"	"10-14"	"Female"	"F"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	26
	"Brain and Other Nervous System"	"31010-31040"	"2004"	"2004"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	35
