"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"1-4 years"	"1-4"	"Female"	"F"	"California"	"06"	32
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"1-4 years"	"1-4"	"Female"	"F"	"Florida"	"12"	19
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"1-4 years"	"1-4"	"Female"	"F"	"New York"	"36"	21
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"1-4 years"	"1-4"	"Female"	"F"	"Texas"	"48"	49
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"1-4 years"	"1-4"	"Male"	"M"	"California"	"06"	33
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"1-4 years"	"1-4"	"Male"	"M"	"Florida"	"12"	25
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"1-4 years"	"1-4"	"Male"	"M"	"New York"	"36"	27
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"1-4 years"	"1-4"	"Male"	"M"	"Ohio"	"39"	22
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"1-4 years"	"1-4"	"Male"	"M"	"Texas"	"48"	39
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"5-9 years"	"5-9"	"Female"	"F"	"California"	"06"	32
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"5-9 years"	"5-9"	"Female"	"F"	"Florida"	"12"	32
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"5-9 years"	"5-9"	"Female"	"F"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"5-9 years"	"5-9"	"Female"	"F"	"Pennsylvania"	"42"	18
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"5-9 years"	"5-9"	"Female"	"F"	"Texas"	"48"	36
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"5-9 years"	"5-9"	"Male"	"M"	"California"	"06"	37
	"Brain and Other Nervous System"	"31010-31040"	"2017"	"2017"	"5-9 years"	"5-9"	"Male"	"M"	"Florida"	"12"	34
