"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Female"	"F"	"California"	"06"	40
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Female"	"F"	"Florida"	"12"	29
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Female"	"F"	"Illinois"	"17"	16
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Female"	"F"	"Ohio"	"39"	19
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Female"	"F"	"Pennsylvania"	"42"	21
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Female"	"F"	"Texas"	"48"	36
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Male"	"M"	"California"	"06"	42
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Male"	"M"	"Florida"	"12"	24
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Male"	"M"	"Illinois"	"17"	16
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Male"	"M"	"Michigan"	"26"	17
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Male"	"M"	"New Jersey"	"34"	17
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Male"	"M"	"New York"	"36"	20
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Male"	"M"	"Ohio"	"39"	16
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Male"	"M"	"Pennsylvania"	"42"	22
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"1-4 years"	"01-04"	"Male"	"M"	"Texas"	"48"	31
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"5-9 years"	"05-09"	"Female"	"F"	"California"	"06"	36
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"5-9 years"	"05-09"	"Female"	"F"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"5-9 years"	"05-09"	"Female"	"F"	"Texas"	"48"	34
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"5-9 years"	"05-09"	"Male"	"M"	"California"	"06"	45
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"5-9 years"	"05-09"	"Male"	"M"	"Florida"	"12"	22
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"5-9 years"	"05-09"	"Male"	"M"	"New York"	"36"	27
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"5-9 years"	"05-09"	"Male"	"M"	"Ohio"	"39"	20
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"5-9 years"	"05-09"	"Male"	"M"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"5-9 years"	"05-09"	"Male"	"M"	"Texas"	"48"	35
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	22
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	27
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	30
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"10-14 years"	"10-14"	"Male"	"M"	"Florida"	"12"	18
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"10-14 years"	"10-14"	"Male"	"M"	"Illinois"	"17"	17
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"10-14 years"	"10-14"	"Male"	"M"	"New Jersey"	"34"	17
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"10-14 years"	"10-14"	"Male"	"M"	"New York"	"36"	22
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"10-14 years"	"10-14"	"Male"	"M"	"Texas"	"48"	37
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"15-19 years"	"15-19"	"Female"	"F"	"California"	"06"	20
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"15-19 years"	"15-19"	"Female"	"F"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"15-19 years"	"15-19"	"Female"	"F"	"Texas"	"48"	18
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"15-19 years"	"15-19"	"Male"	"M"	"California"	"06"	30
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"15-19 years"	"15-19"	"Male"	"M"	"Florida"	"12"	16
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"15-19 years"	"15-19"	"Male"	"M"	"New York"	"36"	30
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"15-19 years"	"15-19"	"Male"	"M"	"Ohio"	"39"	17
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"15-19 years"	"15-19"	"Male"	"M"	"Texas"	"48"	25
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"20-24 years"	"20-24"	"Female"	"F"	"California"	"06"	31
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"20-24 years"	"20-24"	"Female"	"F"	"Florida"	"12"	19
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"20-24 years"	"20-24"	"Female"	"F"	"Texas"	"48"	19
	"Brain and Other Nervous System"	"31010-31040"	"2006"	"2006"	"20-24 years"	"20-24"	"Male"	"M"	"California"	"06"	33
