"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Female"	"F"	"California"	"06"	30
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Female"	"F"	"Florida"	"12"	17
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Female"	"F"	"New York"	"36"	20
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Female"	"F"	"Ohio"	"39"	22
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Female"	"F"	"Pennsylvania"	"42"	20
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Female"	"F"	"Texas"	"48"	34
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Male"	"M"	"California"	"06"	40
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Male"	"M"	"Florida"	"12"	25
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Male"	"M"	"Illinois"	"17"	23
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Male"	"M"	"New York"	"36"	31
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Male"	"M"	"Ohio"	"39"	20
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"1-4 years"	"01-04"	"Male"	"M"	"Texas"	"48"	44
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Female"	"F"	"California"	"06"	49
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Female"	"F"	"Georgia"	"13"	18
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Female"	"F"	"Illinois"	"17"	16
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Female"	"F"	"New York"	"36"	21
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Female"	"F"	"Pennsylvania"	"42"	18
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Female"	"F"	"Texas"	"48"	34
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Male"	"M"	"California"	"06"	39
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Male"	"M"	"Florida"	"12"	33
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Male"	"M"	"New York"	"36"	25
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Male"	"M"	"Ohio"	"39"	19
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Male"	"M"	"Pennsylvania"	"42"	22
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"5-9 years"	"05-09"	"Male"	"M"	"Texas"	"48"	41
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	30
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"10-14 years"	"10-14"	"Female"	"F"	"Florida"	"12"	19
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"10-14 years"	"10-14"	"Female"	"F"	"New York"	"36"	18
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"10-14 years"	"10-14"	"Female"	"F"	"Ohio"	"39"	20
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	32
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	41
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"10-14 years"	"10-14"	"Male"	"M"	"Florida"	"12"	17
	"Brain and Other Nervous System"	"31010-31040"	"2013"	"2013"	"10-14 years"	"10-14"	"Male"	"M"	"New York"	"36"	25
