"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Female"	"F"	"California"	"06"	31
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Female"	"F"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Female"	"F"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Female"	"F"	"Texas"	"48"	42
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Male"	"M"	"California"	"06"	35
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Male"	"M"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Male"	"M"	"Illinois"	"17"	19
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Male"	"M"	"Indiana"	"18"	16
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Male"	"M"	"New York"	"36"	18
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Male"	"M"	"North Carolina"	"37"	17
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Male"	"M"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"1-4 years"	"1-4"	"Male"	"M"	"Texas"	"48"	34
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"5-9 years"	"5-9"	"Female"	"F"	"California"	"06"	28
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"5-9 years"	"5-9"	"Female"	"F"	"Florida"	"12"	16
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"5-9 years"	"5-9"	"Female"	"F"	"New York"	"36"	16
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"5-9 years"	"5-9"	"Female"	"F"	"Ohio"	"39"	22
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"5-9 years"	"5-9"	"Female"	"F"	"Texas"	"48"	35
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"5-9 years"	"5-9"	"Male"	"M"	"California"	"06"	33
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"5-9 years"	"5-9"	"Male"	"M"	"Florida"	"12"	21
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"5-9 years"	"5-9"	"Male"	"M"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"5-9 years"	"5-9"	"Male"	"M"	"Texas"	"48"	43
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	23
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"10-14 years"	"10-14"	"Female"	"F"	"New York"	"36"	17
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"10-14 years"	"10-14"	"Female"	"F"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	29
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	33
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"10-14 years"	"10-14"	"Male"	"M"	"Michigan"	"26"	16
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"10-14 years"	"10-14"	"Male"	"M"	"New York"	"36"	22
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"10-14 years"	"10-14"	"Male"	"M"	"North Carolina"	"37"	17
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"10-14 years"	"10-14"	"Male"	"M"	"Ohio"	"39"	17
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"10-14 years"	"10-14"	"Male"	"M"	"Texas"	"48"	44
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"15-19 years"	"15-19"	"Female"	"F"	"California"	"06"	28
	"Brain and Other Nervous System"	"31010-31040"	"2011"	"2011"	"15-19 years"	"15-19"	"Female"	"F"	"Florida"	"12"	19
