"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"1-4 years"	"01-04"	"Female"	"F"	"California"	"06"	36
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"1-4 years"	"01-04"	"Female"	"F"	"Florida"	"12"	18
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"1-4 years"	"01-04"	"Female"	"F"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"1-4 years"	"01-04"	"Female"	"F"	"Pennsylvania"	"42"	19
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"1-4 years"	"01-04"	"Female"	"F"	"Texas"	"48"	27
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"1-4 years"	"01-04"	"Male"	"M"	"California"	"06"	44
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"1-4 years"	"01-04"	"Male"	"M"	"Florida"	"12"	21
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"1-4 years"	"01-04"	"Male"	"M"	"Illinois"	"17"	16
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"1-4 years"	"01-04"	"Male"	"M"	"New York"	"36"	27
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"1-4 years"	"01-04"	"Male"	"M"	"Texas"	"48"	34
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"5-9 years"	"05-09"	"Female"	"F"	"California"	"06"	26
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"5-9 years"	"05-09"	"Female"	"F"	"Florida"	"12"	22
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"5-9 years"	"05-09"	"Female"	"F"	"Illinois"	"17"	17
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"5-9 years"	"05-09"	"Female"	"F"	"New Jersey"	"34"	16
	"Brain and Other Nervous System"	"31010-31040"	"2018"	"2018"	"5-9 years"	"05-09"	"Female"	"F"	"New York"	"36"	21
