"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"1-4 years"	"01-04"	"Female"	"F"	"California"	"06"	31
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"1-4 years"	"01-04"	"Female"	"F"	"Florida"	"12"	27
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"1-4 years"	"01-04"	"Female"	"F"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"1-4 years"	"01-04"	"Female"	"F"	"Ohio"	"39"	16
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"1-4 years"	"01-04"	"Female"	"F"	"Pennsylvania"	"42"	19
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"1-4 years"	"01-04"	"Female"	"F"	"Texas"	"48"	23
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"1-4 years"	"01-04"	"Male"	"M"	"California"	"06"	39
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"1-4 years"	"01-04"	"Male"	"M"	"Florida"	"12"	35
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"1-4 years"	"01-04"	"Male"	"M"	"Illinois"	"17"	16
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"1-4 years"	"01-04"	"Male"	"M"	"Ohio"	"39"	17
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"1-4 years"	"01-04"	"Male"	"M"	"Texas"	"48"	33
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"5-9 years"	"05-09"	"Female"	"F"	"California"	"06"	26
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"5-9 years"	"05-09"	"Female"	"F"	"Florida"	"12"	28
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"5-9 years"	"05-09"	"Female"	"F"	"New York"	"36"	16
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"5-9 years"	"05-09"	"Female"	"F"	"Ohio"	"39"	17
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"5-9 years"	"05-09"	"Female"	"F"	"Pennsylvania"	"42"	16
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"5-9 years"	"05-09"	"Female"	"F"	"Texas"	"48"	32
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"5-9 years"	"05-09"	"Male"	"M"	"California"	"06"	44
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"5-9 years"	"05-09"	"Male"	"M"	"Florida"	"12"	16
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"5-9 years"	"05-09"	"Male"	"M"	"Illinois"	"17"	18
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"5-9 years"	"05-09"	"Male"	"M"	"New York"	"36"	28
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"5-9 years"	"05-09"	"Male"	"M"	"Texas"	"48"	26
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	29
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"10-14 years"	"10-14"	"Female"	"F"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	20
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	29
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"10-14 years"	"10-14"	"Male"	"M"	"Florida"	"12"	19
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"10-14 years"	"10-14"	"Male"	"M"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"10-14 years"	"10-14"	"Male"	"M"	"Texas"	"48"	27
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"15-19 years"	"15-19"	"Female"	"F"	"California"	"06"	18
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"15-19 years"	"15-19"	"Female"	"F"	"Florida"	"12"	17
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"15-19 years"	"15-19"	"Female"	"F"	"Texas"	"48"	23
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"15-19 years"	"15-19"	"Male"	"M"	"California"	"06"	22
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"15-19 years"	"15-19"	"Male"	"M"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"15-19 years"	"15-19"	"Male"	"M"	"Texas"	"48"	25
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"20-24 years"	"20-24"	"Female"	"F"	"California"	"06"	22
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"20-24 years"	"20-24"	"Male"	"M"	"California"	"06"	27
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"20-24 years"	"20-24"	"Male"	"M"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"20-24 years"	"20-24"	"Male"	"M"	"New York"	"36"	23
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"20-24 years"	"20-24"	"Male"	"M"	"Texas"	"48"	24
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"25-29 years"	"25-29"	"Female"	"F"	"California"	"06"	23
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"25-29 years"	"25-29"	"Female"	"F"	"Florida"	"12"	18
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"25-29 years"	"25-29"	"Female"	"F"	"New York"	"36"	18
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"25-29 years"	"25-29"	"Female"	"F"	"Texas"	"48"	20
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"25-29 years"	"25-29"	"Male"	"M"	"California"	"06"	30
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"25-29 years"	"25-29"	"Male"	"M"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"25-29 years"	"25-29"	"Male"	"M"	"New York"	"36"	20
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"25-29 years"	"25-29"	"Male"	"M"	"Ohio"	"39"	18
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"25-29 years"	"25-29"	"Male"	"M"	"Texas"	"48"	31
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Female"	"F"	"California"	"06"	39
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Female"	"F"	"Florida"	"12"	24
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Female"	"F"	"New York"	"36"	23
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Female"	"F"	"Pennsylvania"	"42"	22
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Female"	"F"	"Texas"	"48"	22
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Male"	"M"	"California"	"06"	59
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Male"	"M"	"Florida"	"12"	30
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Male"	"M"	"Illinois"	"17"	22
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Male"	"M"	"New York"	"36"	35
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Male"	"M"	"Ohio"	"39"	23
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Male"	"M"	"Pennsylvania"	"42"	19
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"30-34 years"	"30-34"	"Male"	"M"	"Texas"	"48"	36
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Female"	"F"	"California"	"06"	33
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Female"	"F"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Female"	"F"	"Illinois"	"17"	17
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Female"	"F"	"New York"	"36"	25
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Female"	"F"	"Pennsylvania"	"42"	19
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Female"	"F"	"Texas"	"48"	38
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	"California"	"06"	49
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	"Florida"	"12"	23
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	"Illinois"	"17"	24
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	"Michigan"	"26"	17
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	"New Jersey"	"34"	17
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	"New York"	"36"	30
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	"Ohio"	"39"	23
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	"Pennsylvania"	"42"	21
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	"Texas"	"48"	35
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"35-39 years"	"35-39"	"Male"	"M"	"Virginia"	"51"	19
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Female"	"F"	"California"	"06"	39
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Female"	"F"	"Florida"	"12"	19
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Female"	"F"	"Texas"	"48"	35
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	"California"	"06"	74
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	"Florida"	"12"	33
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	"Illinois"	"17"	23
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	"Massachusetts"	"25"	17
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	"New York"	"36"	40
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	"North Carolina"	"37"	23
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	"Ohio"	"39"	21
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	"Texas"	"48"	42
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"40-44 years"	"40-44"	"Male"	"M"	"Virginia"	"51"	16
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	"California"	"06"	54
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	"Florida"	"12"	33
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	"Illinois"	"17"	18
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	"New York"	"36"	26
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	"Ohio"	"39"	20
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	"Pennsylvania"	"42"	21
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Female"	"F"	"Texas"	"48"	47
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"California"	"06"	74
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"Colorado"	"08"	16
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"Florida"	"12"	38
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"Georgia"	"13"	20
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"Illinois"	"17"	29
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"Kentucky"	"21"	16
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"Massachusetts"	"25"	17
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"Michigan"	"26"	17
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"New Jersey"	"34"	19
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"New York"	"36"	49
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"North Carolina"	"37"	25
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"Ohio"	"39"	22
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"Pennsylvania"	"42"	32
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"45-49 years"	"45-49"	"Male"	"M"	"Texas"	"48"	73
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	"California"	"06"	71
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	"Florida"	"12"	47
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	"Georgia"	"13"	16
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	"Illinois"	"17"	25
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	"Massachusetts"	"25"	20
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	"Michigan"	"26"	18
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	"New Jersey"	"34"	18
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	"New York"	"36"	41
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	"North Carolina"	"37"	18
	"Brain and Other Nervous System"	"31010-31040"	"2019"	"2019"	"50-54 years"	"50-54"	"Female"	"F"	"Ohio"	"39"	37
