"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Female"	"F"	"California"	"06"	31
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Female"	"F"	"Florida"	"12"	23
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Female"	"F"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Female"	"F"	"Ohio"	"39"	17
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Female"	"F"	"Pennsylvania"	"42"	19
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Female"	"F"	"Texas"	"48"	44
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Male"	"M"	"California"	"06"	55
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Male"	"M"	"Florida"	"12"	21
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Male"	"M"	"Georgia"	"13"	20
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Male"	"M"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Male"	"M"	"North Carolina"	"37"	17
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Male"	"M"	"Pennsylvania"	"42"	26
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"1-4 years"	"01-04"	"Male"	"M"	"Texas"	"48"	37
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Female"	"F"	"California"	"06"	42
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Female"	"F"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Female"	"F"	"Illinois"	"17"	16
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Female"	"F"	"Michigan"	"26"	17
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Female"	"F"	"New York"	"36"	20
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Female"	"F"	"Texas"	"48"	41
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Male"	"M"	"California"	"06"	42
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Male"	"M"	"Florida"	"12"	19
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Male"	"M"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Male"	"M"	"Pennsylvania"	"42"	26
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Male"	"M"	"Texas"	"48"	37
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"5-9 years"	"05-09"	"Male"	"M"	"Washington"	"53"	16
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	22
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Female"	"F"	"Florida"	"12"	18
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Female"	"F"	"New York"	"36"	21
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	20
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	26
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Male"	"M"	"Florida"	"12"	24
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Male"	"M"	"Illinois"	"17"	19
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Male"	"M"	"New Jersey"	"34"	16
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Male"	"M"	"New York"	"36"	27
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Male"	"M"	"Ohio"	"39"	16
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Male"	"M"	"Pennsylvania"	"42"	16
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"10-14 years"	"10-14"	"Male"	"M"	"Texas"	"48"	31
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"15-19 years"	"15-19"	"Female"	"F"	"California"	"06"	19
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"15-19 years"	"15-19"	"Female"	"F"	"Texas"	"48"	17
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"15-19 years"	"15-19"	"Male"	"M"	"California"	"06"	36
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"15-19 years"	"15-19"	"Male"	"M"	"Florida"	"12"	24
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"15-19 years"	"15-19"	"Male"	"M"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"15-19 years"	"15-19"	"Male"	"M"	"Texas"	"48"	26
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"California"	"06"	27
	"Brain and Other Nervous System"	"31010-31040"	"2010"	"2010"	"20-24 years"	"20-24"	"Female"	"F"	"Florida"	"12"	16
