"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Female"	"F"	"California"	"06"	38
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Female"	"F"	"Florida"	"12"	25
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Female"	"F"	"Illinois"	"17"	19
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Female"	"F"	"New York"	"36"	16
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Female"	"F"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Female"	"F"	"Texas"	"48"	26
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Male"	"M"	"California"	"06"	44
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Male"	"M"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Male"	"M"	"Illinois"	"17"	21
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Male"	"M"	"New York"	"36"	21
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Male"	"M"	"North Carolina"	"37"	21
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"1-4 years"	"1-4"	"Male"	"M"	"Texas"	"48"	28
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"5-9 years"	"5-9"	"Female"	"F"	"California"	"06"	32
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"5-9 years"	"5-9"	"Female"	"F"	"Illinois"	"17"	16
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"5-9 years"	"5-9"	"Female"	"F"	"New York"	"36"	22
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"5-9 years"	"5-9"	"Female"	"F"	"Ohio"	"39"	16
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"5-9 years"	"5-9"	"Female"	"F"	"Texas"	"48"	32
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"5-9 years"	"5-9"	"Male"	"M"	"California"	"06"	41
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"5-9 years"	"5-9"	"Male"	"M"	"Florida"	"12"	16
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"5-9 years"	"5-9"	"Male"	"M"	"Illinois"	"17"	18
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"5-9 years"	"5-9"	"Male"	"M"	"New York"	"36"	25
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"5-9 years"	"5-9"	"Male"	"M"	"Ohio"	"39"	19
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"5-9 years"	"5-9"	"Male"	"M"	"Texas"	"48"	33
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	32
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"10-14 years"	"10-14"	"Female"	"F"	"Florida"	"12"	19
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"10-14 years"	"10-14"	"Female"	"F"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"10-14 years"	"10-14"	"Female"	"F"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	18
	"Brain and Other Nervous System"	"31010-31040"	"2005"	"2005"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	36
