"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Female"	"F"	"California"	"06"	39
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Female"	"F"	"Florida"	"12"	18
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Female"	"F"	"Georgia"	"13"	19
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Female"	"F"	"Illinois"	"17"	17
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Female"	"F"	"Ohio"	"39"	17
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Female"	"F"	"Texas"	"48"	33
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Male"	"M"	"California"	"06"	52
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Male"	"M"	"Florida"	"12"	21
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Male"	"M"	"New York"	"36"	27
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Male"	"M"	"North Carolina"	"37"	17
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Male"	"M"	"Ohio"	"39"	16
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Male"	"M"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"1-4 years"	"01-04"	"Male"	"M"	"Texas"	"48"	41
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"5-9 years"	"05-09"	"Female"	"F"	"California"	"06"	39
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"5-9 years"	"05-09"	"Female"	"F"	"Florida"	"12"	16
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"5-9 years"	"05-09"	"Female"	"F"	"Georgia"	"13"	19
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"5-9 years"	"05-09"	"Female"	"F"	"New York"	"36"	27
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"5-9 years"	"05-09"	"Female"	"F"	"Texas"	"48"	26
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"5-9 years"	"05-09"	"Male"	"M"	"California"	"06"	44
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"5-9 years"	"05-09"	"Male"	"M"	"Indiana"	"18"	17
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"5-9 years"	"05-09"	"Male"	"M"	"New York"	"36"	27
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"5-9 years"	"05-09"	"Male"	"M"	"Texas"	"48"	38
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	35
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"10-14 years"	"10-14"	"Female"	"F"	"Georgia"	"13"	16
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"10-14 years"	"10-14"	"Female"	"F"	"New York"	"36"	21
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	27
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	30
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"10-14 years"	"10-14"	"Male"	"M"	"Florida"	"12"	17
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"10-14 years"	"10-14"	"Male"	"M"	"Michigan"	"26"	16
	"Brain and Other Nervous System"	"31010-31040"	"2007"	"2007"	"10-14 years"	"10-14"	"Male"	"M"	"New York"	"36"	24
