"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"1-4 years"	"01-04"	"Female"	"F"	"California"	"06"	29
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"1-4 years"	"01-04"	"Female"	"F"	"Florida"	"12"	16
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"1-4 years"	"01-04"	"Female"	"F"	"Illinois"	"17"	17
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"1-4 years"	"01-04"	"Female"	"F"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"1-4 years"	"01-04"	"Female"	"F"	"Pennsylvania"	"42"	20
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"1-4 years"	"01-04"	"Female"	"F"	"Texas"	"48"	24
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"1-4 years"	"01-04"	"Male"	"M"	"California"	"06"	46
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"1-4 years"	"01-04"	"Male"	"M"	"Florida"	"12"	17
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"1-4 years"	"01-04"	"Male"	"M"	"New York"	"36"	21
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"1-4 years"	"01-04"	"Male"	"M"	"Texas"	"48"	33
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"5-9 years"	"05-09"	"Female"	"F"	"California"	"06"	37
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"5-9 years"	"05-09"	"Female"	"F"	"New York"	"36"	20
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"5-9 years"	"05-09"	"Female"	"F"	"Ohio"	"39"	18
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"5-9 years"	"05-09"	"Female"	"F"	"Texas"	"48"	29
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"5-9 years"	"05-09"	"Male"	"M"	"California"	"06"	46
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"5-9 years"	"05-09"	"Male"	"M"	"Florida"	"12"	19
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"5-9 years"	"05-09"	"Male"	"M"	"New York"	"36"	33
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"5-9 years"	"05-09"	"Male"	"M"	"Ohio"	"39"	16
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"5-9 years"	"05-09"	"Male"	"M"	"Pennsylvania"	"42"	20
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"5-9 years"	"05-09"	"Male"	"M"	"Texas"	"48"	34
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	31
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"10-14 years"	"10-14"	"Female"	"F"	"Florida"	"12"	17
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"10-14 years"	"10-14"	"Female"	"F"	"New York"	"36"	22
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	19
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	31
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"10-14 years"	"10-14"	"Male"	"M"	"Michigan"	"26"	17
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"10-14 years"	"10-14"	"Male"	"M"	"Texas"	"48"	29
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"15-19 years"	"15-19"	"Female"	"F"	"California"	"06"	18
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"15-19 years"	"15-19"	"Female"	"F"	"Texas"	"48"	16
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"15-19 years"	"15-19"	"Male"	"M"	"California"	"06"	23
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"15-19 years"	"15-19"	"Male"	"M"	"Texas"	"48"	33
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"20-24 years"	"20-24"	"Female"	"F"	"California"	"06"	17
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"20-24 years"	"20-24"	"Male"	"M"	"California"	"06"	26
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"20-24 years"	"20-24"	"Male"	"M"	"Florida"	"12"	16
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"20-24 years"	"20-24"	"Male"	"M"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"25-29 years"	"25-29"	"Female"	"F"	"California"	"06"	25
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"25-29 years"	"25-29"	"Female"	"F"	"New York"	"36"	17
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"25-29 years"	"25-29"	"Female"	"F"	"Texas"	"48"	23
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"25-29 years"	"25-29"	"Male"	"M"	"California"	"06"	33
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"25-29 years"	"25-29"	"Male"	"M"	"Florida"	"12"	25
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"25-29 years"	"25-29"	"Male"	"M"	"New York"	"36"	27
	"Brain and Other Nervous System"	"31010-31040"	"2001"	"2001"	"25-29 years"	"25-29"	"Male"	"M"	"Pennsylvania"	"42"	16
