"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"1-4 years"	"1-4"	"Female"	"F"	"California"	"06"	39
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"1-4 years"	"1-4"	"Female"	"F"	"Florida"	"12"	22
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"1-4 years"	"1-4"	"Female"	"F"	"New York"	"36"	17
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"1-4 years"	"1-4"	"Female"	"F"	"Pennsylvania"	"42"	16
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"1-4 years"	"1-4"	"Female"	"F"	"Texas"	"48"	27
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"1-4 years"	"1-4"	"Male"	"M"	"California"	"06"	34
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"1-4 years"	"1-4"	"Male"	"M"	"Florida"	"12"	22
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"1-4 years"	"1-4"	"Male"	"M"	"New Jersey"	"34"	18
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"1-4 years"	"1-4"	"Male"	"M"	"Ohio"	"39"	22
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"1-4 years"	"1-4"	"Male"	"M"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"1-4 years"	"1-4"	"Male"	"M"	"Texas"	"48"	36
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"5-9 years"	"5-9"	"Female"	"F"	"California"	"06"	49
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"5-9 years"	"5-9"	"Female"	"F"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"5-9 years"	"5-9"	"Female"	"F"	"Texas"	"48"	25
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"5-9 years"	"5-9"	"Male"	"M"	"California"	"06"	38
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"5-9 years"	"5-9"	"Male"	"M"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"5-9 years"	"5-9"	"Male"	"M"	"New York"	"36"	18
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"5-9 years"	"5-9"	"Male"	"M"	"Pennsylvania"	"42"	18
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"5-9 years"	"5-9"	"Male"	"M"	"Texas"	"48"	41
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"10-14 years"	"10-14"	"Female"	"F"	"California"	"06"	36
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"10-14 years"	"10-14"	"Female"	"F"	"Florida"	"12"	17
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"10-14 years"	"10-14"	"Female"	"F"	"New York"	"36"	31
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"10-14 years"	"10-14"	"Female"	"F"	"Texas"	"48"	26
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"10-14 years"	"10-14"	"Male"	"M"	"California"	"06"	32
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"10-14 years"	"10-14"	"Male"	"M"	"Florida"	"12"	18
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"10-14 years"	"10-14"	"Male"	"M"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"10-14 years"	"10-14"	"Male"	"M"	"Pennsylvania"	"42"	18
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"10-14 years"	"10-14"	"Male"	"M"	"Texas"	"48"	31
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"15-19 years"	"15-19"	"Female"	"F"	"California"	"06"	19
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"15-19 years"	"15-19"	"Male"	"M"	"California"	"06"	24
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"15-19 years"	"15-19"	"Male"	"M"	"New York"	"36"	19
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"15-19 years"	"15-19"	"Male"	"M"	"Texas"	"48"	19
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"20-24 years"	"20-24"	"Female"	"F"	"California"	"06"	22
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"20-24 years"	"20-24"	"Female"	"F"	"Texas"	"48"	22
	"Brain and Other Nervous System"	"31010-31040"	"2003"	"2003"	"20-24 years"	"20-24"	"Male"	"M"	"California"	"06"	31
