"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"1-4 years"	"01-04"	"Female"	"F"	"California"	"06"	38
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"1-4 years"	"01-04"	"Female"	"F"	"New York"	"36"	24
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"1-4 years"	"01-04"	"Female"	"F"	"Texas"	"48"	39
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"1-4 years"	"01-04"	"Male"	"M"	"California"	"06"	41
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"1-4 years"	"01-04"	"Male"	"M"	"Florida"	"12"	23
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"1-4 years"	"01-04"	"Male"	"M"	"New York"	"36"	20
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"1-4 years"	"01-04"	"Male"	"M"	"Ohio"	"39"	21
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"1-4 years"	"01-04"	"Male"	"M"	"Texas"	"48"	37
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"1-4 years"	"01-04"	"Male"	"M"	"Virginia"	"51"	17
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"5-9 years"	"05-09"	"Female"	"F"	"California"	"06"	42
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"5-9 years"	"05-09"	"Female"	"F"	"Florida"	"12"	18
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"5-9 years"	"05-09"	"Female"	"F"	"Pennsylvania"	"42"	17
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"5-9 years"	"05-09"	"Female"	"F"	"Texas"	"48"	45
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"5-9 years"	"05-09"	"Male"	"M"	"California"	"06"	36
	"Brain and Other Nervous System"	"31010-31040"	"2009"	"2009"	"5-9 years"	"05-09"	"Male"	"M"	"Florida"	"12"	23
