"Notes"	"Leading Cancer Sites"	"Leading Cancer Sites Code"	"Year"	"Year Code"	"Age Groups"	"Age Groups Code"	"Sex"	"Sex Code"	"States and Puerto Rico"	"States and Puerto Rico Code"	Count
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"1-4 years"	"1-4"	"Female"	"F"	"California"	"06"	22
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"1-4 years"	"1-4"	"Female"	"F"	"Florida"	"12"	20
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"1-4 years"	"1-4"	"Female"	"F"	"Illinois"	"17"	20
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"1-4 years"	"1-4"	"Female"	"F"	"New York"	"36"	23
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"1-4 years"	"1-4"	"Female"	"F"	"Texas"	"48"	24
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"1-4 years"	"1-4"	"Male"	"M"	"California"	"06"	24
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"1-4 years"	"1-4"	"Male"	"M"	"Florida"	"12"	19
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"1-4 years"	"1-4"	"Male"	"M"	"New York"	"36"	21
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"1-4 years"	"1-4"	"Male"	"M"	"Ohio"	"39"	27
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"1-4 years"	"1-4"	"Male"	"M"	"Pennsylvania"	"42"	24
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"1-4 years"	"1-4"	"Male"	"M"	"Texas"	"48"	28
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"5-9 years"	"5-9"	"Female"	"F"	"California"	"06"	31
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"5-9 years"	"5-9"	"Female"	"F"	"Florida"	"12"	21
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"5-9 years"	"5-9"	"Female"	"F"	"Texas"	"48"	30
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"5-9 years"	"5-9"	"Male"	"M"	"California"	"06"	31
	"Brain and Other Nervous System"	"31010-31040"	"2021"	"2021"	"5-9 years"	"5-9"	"Male"	"M"	"Florida"	"12"	27
